week_end,pathogen,geography,percent_visits
10/7/2023,Influenza,Arizona,0.2
10/7/2023,Influenza,Arkansas,0.4
10/7/2023,Influenza,California,0.2
10/7/2023,Influenza,Colorado,0.2
10/7/2023,Influenza,Connecticut,0.1
10/7/2023,Influenza,Delaware,0.1
10/7/2023,Influenza,District of Columbia,0.1
10/7/2023,Influenza,Florida,1.6
10/7/2023,Influenza,Georgia,0.4
10/7/2023,Influenza,Hawaii,2.7
10/7/2023,Influenza,Idaho,0.1
10/7/2023,Influenza,Illinois,0.1
10/7/2023,Influenza,Indiana,0.1
10/7/2023,Influenza,Iowa,0.2
10/7/2023,Influenza,Kansas,0.1
10/7/2023,Influenza,Kentucky,0.2
10/7/2023,Influenza,Louisiana,0.5
10/7/2023,Influenza,Maine,0.1
10/7/2023,Influenza,Maryland,0.1
10/7/2023,Influenza,Massachusetts,0.1
10/7/2023,Influenza,Michigan,0.1
10/7/2023,Influenza,Minnesota,0.1
10/7/2023,Influenza,Mississippi,0.4
10/7/2023,Influenza,Montana,0
10/7/2023,Influenza,United States,0.4
10/7/2023,Influenza,Nebraska,0.1
10/7/2023,Influenza,Nevada,0.2
10/7/2023,Influenza,New Hampshire,0.2
10/7/2023,Influenza,New Jersey,0.1
10/7/2023,Influenza,New Mexico,0.2
10/7/2023,Influenza,New York,0.1
10/7/2023,Influenza,North Carolina,0.6
10/7/2023,Influenza,North Dakota,0.1
10/7/2023,Influenza,Ohio,0.1
10/7/2023,Influenza,Oklahoma,0.1
10/7/2023,Influenza,Oregon,0.1
10/7/2023,Influenza,Pennsylvania,0.1
10/7/2023,Influenza,Rhode Island,0.1
10/7/2023,Influenza,South Carolina,0.5
10/7/2023,Influenza,Tennessee,0.4
10/7/2023,Influenza,Texas,0.6
10/7/2023,Influenza,Utah,0.2
10/7/2023,Influenza,Vermont,0
10/7/2023,Influenza,Virginia,0.3
10/7/2023,Influenza,Washington,0.2
10/7/2023,Influenza,West Virginia,0.1
10/7/2023,Influenza,Wisconsin,0.1
10/7/2023,Influenza,Wyoming,0.2
10/7/2023,RSV,Alabama,0.5
10/7/2023,RSV,Alaska,0.1
10/7/2023,RSV,Arizona,0
10/7/2023,RSV,Arkansas,0.2
10/7/2023,RSV,California,0.1
10/7/2023,RSV,Colorado,0.1
10/7/2023,RSV,Connecticut,0.1
10/7/2023,RSV,Delaware,0.4
10/7/2023,RSV,District of Columbia,0.7
10/7/2023,RSV,Florida,0.6
10/7/2023,RSV,Georgia,0.5
10/7/2023,RSV,Hawaii,0.2
10/7/2023,RSV,Idaho,0.1
10/7/2023,RSV,Illinois,0.2
10/7/2023,RSV,Indiana,0.1
10/7/2023,RSV,Iowa,0.1
10/7/2023,RSV,Kansas,0
10/7/2023,RSV,Kentucky,0.2
10/7/2023,RSV,Louisiana,0.4
10/7/2023,RSV,Maine,0
10/7/2023,RSV,Maryland,0.2
10/7/2023,RSV,Massachusetts,0.2
10/7/2023,RSV,Michigan,0.1
10/7/2023,RSV,Minnesota,0
10/7/2023,RSV,Mississippi,0.7
10/7/2023,RSV,Montana,0
10/7/2023,RSV,United States,0.2
10/7/2023,RSV,Nebraska,0
10/7/2023,RSV,Nevada,0.1
10/7/2023,RSV,New Hampshire,0.1
10/7/2023,RSV,New Jersey,0.1
10/7/2023,RSV,New Mexico,0.1
10/7/2023,RSV,New York,0.1
10/7/2023,RSV,North Carolina,0.2
10/7/2023,RSV,North Dakota,0.1
10/7/2023,RSV,Ohio,0
10/7/2023,RSV,Oklahoma,0.1
10/7/2023,RSV,Oregon,0.1
10/7/2023,RSV,Pennsylvania,0
10/7/2023,RSV,Rhode Island,0.1
10/7/2023,RSV,South Carolina,0.3
10/7/2023,RSV,Tennessee,0.5
10/7/2023,RSV,Texas,0.4
10/7/2023,RSV,Utah,0
10/7/2023,RSV,Vermont,0
10/7/2023,RSV,Virginia,0.2
10/7/2023,RSV,Washington,0.1
10/7/2023,RSV,West Virginia,0.1
10/7/2023,RSV,Wisconsin,0
10/7/2023,RSV,Wyoming,0.1
10/14/2023,COVID-19,Alabama,1.2
10/14/2023,COVID-19,Alaska,1.2
10/14/2023,COVID-19,Arizona,2.4
10/14/2023,COVID-19,Arkansas,1.1
10/14/2023,COVID-19,California,1.2
10/14/2023,COVID-19,Colorado,2.3
10/14/2023,COVID-19,Connecticut,1.6
10/14/2023,COVID-19,Delaware,1.3
10/14/2023,COVID-19,District of Columbia,1.1
10/14/2023,COVID-19,Florida,1.1
10/14/2023,COVID-19,Georgia,0.7
10/14/2023,COVID-19,Hawaii,2.5
10/14/2023,COVID-19,Idaho,2.2
10/14/2023,COVID-19,Illinois,1.3
10/14/2023,COVID-19,Indiana,1.2
10/14/2023,COVID-19,Iowa,2
10/14/2023,COVID-19,Kansas,1.2
10/14/2023,COVID-19,Kentucky,1.7
10/14/2023,COVID-19,Louisiana,1
10/14/2023,COVID-19,Maine,1.7
10/14/2023,COVID-19,Maryland,1.3
10/14/2023,COVID-19,Massachusetts,1.7
10/14/2023,COVID-19,Michigan,1.4
10/14/2023,COVID-19,Minnesota,1.8
10/14/2023,COVID-19,Mississippi,1
10/14/2023,COVID-19,Montana,2.7
10/14/2023,COVID-19,United States,1.4
10/14/2023,COVID-19,Nebraska,0.8
10/14/2023,COVID-19,Nevada,1.7
10/14/2023,COVID-19,New Hampshire,1.5
10/14/2023,COVID-19,New Jersey,1.2
10/14/2023,COVID-19,New Mexico,3.1
10/14/2023,COVID-19,New York,1.2
10/14/2023,COVID-19,North Carolina,1.8
10/14/2023,COVID-19,North Dakota,1.9
10/14/2023,COVID-19,Ohio,1.2
10/14/2023,COVID-19,Oklahoma,0.9
10/14/2023,COVID-19,Oregon,2.4
10/14/2023,COVID-19,Pennsylvania,1.2
10/14/2023,COVID-19,Rhode Island,1.4
10/14/2023,COVID-19,South Carolina,1.6
10/14/2023,COVID-19,Tennessee,1
10/14/2023,COVID-19,Texas,1.1
10/14/2023,COVID-19,Utah,1.8
10/14/2023,COVID-19,Vermont,1.8
10/14/2023,COVID-19,Virginia,1.6
10/14/2023,COVID-19,Washington,2.3
10/14/2023,COVID-19,West Virginia,2
10/14/2023,COVID-19,Wisconsin,1.4
10/14/2023,COVID-19,Wyoming,2.1
10/14/2023,Influenza,Alabama,0.7
10/14/2023,Influenza,Alaska,4.5
10/14/2023,Influenza,Arizona,0.3
10/14/2023,Influenza,Arkansas,0.6
10/14/2023,Influenza,California,0.2
10/14/2023,Influenza,Colorado,0.2
10/14/2023,Influenza,Connecticut,0.1
10/14/2023,Influenza,Delaware,0.1
10/14/2023,Influenza,District of Columbia,0.2
10/14/2023,Influenza,Florida,2
10/14/2023,Influenza,Georgia,0.4
10/14/2023,Influenza,Hawaii,3
10/14/2023,Influenza,Idaho,0.1
10/14/2023,Influenza,Illinois,0.2
10/14/2023,Influenza,Indiana,0.2
10/14/2023,Influenza,Iowa,0.2
10/14/2023,Influenza,Kansas,0.1
10/14/2023,Influenza,Kentucky,0.3
10/14/2023,Influenza,Louisiana,0.8
10/14/2023,Influenza,Maine,0.1
10/14/2023,Influenza,Maryland,0.1
10/14/2023,Influenza,Massachusetts,0.1
10/14/2023,Influenza,Michigan,0.1
10/14/2023,Influenza,Minnesota,0.1
10/14/2023,Influenza,Mississippi,0.6
10/14/2023,Influenza,Montana,0.1
10/14/2023,Influenza,United States,0.5
10/14/2023,Influenza,Nebraska,0.1
10/14/2023,Influenza,Nevada,0.3
10/14/2023,Influenza,New Hampshire,0.1
10/14/2023,Influenza,New Jersey,0.2
10/14/2023,Influenza,New Mexico,0.2
10/14/2023,Influenza,New York,0.1
10/14/2023,Influenza,North Carolina,0.7
10/14/2023,Influenza,North Dakota,0.1
10/14/2023,Influenza,Ohio,0.1
10/14/2023,Influenza,Oklahoma,0.1
10/14/2023,Influenza,Oregon,0.1
10/14/2023,Influenza,Pennsylvania,0.1
10/14/2023,Influenza,Rhode Island,0.1
10/14/2023,Influenza,South Carolina,0.5
10/14/2023,Influenza,Tennessee,0.4
10/14/2023,Influenza,Texas,0.7
10/14/2023,Influenza,Utah,0.3
10/14/2023,Influenza,Vermont,0
10/14/2023,Influenza,Virginia,0.3
10/14/2023,Influenza,Washington,0.2
10/14/2023,Influenza,West Virginia,0.1
10/14/2023,Influenza,Wisconsin,0.1
10/14/2023,Influenza,Wyoming,0.2
10/14/2023,RSV,Alabama,0.7
10/14/2023,RSV,Alaska,0.1
10/14/2023,RSV,Arizona,0.1
10/14/2023,RSV,Arkansas,0.2
10/14/2023,RSV,California,0.1
10/14/2023,RSV,Colorado,0.1
10/14/2023,RSV,Connecticut,0.1
10/14/2023,RSV,Delaware,0.5
10/14/2023,RSV,District of Columbia,1
10/14/2023,RSV,Florida,0.7
10/14/2023,RSV,Georgia,0.6
10/14/2023,RSV,Hawaii,0.5
10/14/2023,RSV,Idaho,0
10/14/2023,RSV,Illinois,0.3
10/14/2023,RSV,Indiana,0.2
10/14/2023,RSV,Iowa,0.2
10/14/2023,RSV,Kansas,0.1
10/14/2023,RSV,Kentucky,0.3
10/14/2023,RSV,Louisiana,0.5
10/14/2023,RSV,Maine,0
10/14/2023,RSV,Maryland,0.4
10/14/2023,RSV,Massachusetts,0.3
10/14/2023,RSV,Michigan,0.1
10/14/2023,RSV,Minnesota,0.1
10/14/2023,RSV,Mississippi,0.8
10/14/2023,RSV,Montana,0
10/14/2023,RSV,United States,0.3
10/14/2023,RSV,Nebraska,0
10/14/2023,RSV,Nevada,0
10/14/2023,RSV,New Hampshire,0.1
10/14/2023,RSV,New Jersey,0.2
10/14/2023,RSV,New Mexico,0.1
10/14/2023,RSV,New York,0.1
10/14/2023,RSV,North Carolina,0.3
10/14/2023,RSV,North Dakota,0.1
10/14/2023,RSV,Ohio,0.1
10/14/2023,RSV,Oklahoma,0.1
10/14/2023,RSV,Oregon,0
10/14/2023,RSV,Pennsylvania,0.1
10/14/2023,RSV,Rhode Island,0.1
10/14/2023,RSV,South Carolina,0.5
10/14/2023,RSV,Tennessee,0.6
10/14/2023,RSV,Texas,0.6
10/14/2023,RSV,Utah,0
10/14/2023,RSV,Vermont,0
10/14/2023,RSV,Virginia,0.4
10/14/2023,RSV,Washington,0.1
10/14/2023,RSV,West Virginia,0.1
10/14/2023,RSV,Wisconsin,0.1
10/14/2023,RSV,Wyoming,0
10/21/2023,COVID-19,Alabama,1.2
10/21/2023,COVID-19,Alaska,1.2
10/21/2023,COVID-19,Arizona,2.6
10/21/2023,COVID-19,Arkansas,1
10/21/2023,COVID-19,California,1.2
10/21/2023,COVID-19,Colorado,2.5
10/21/2023,COVID-19,Connecticut,1.5
10/21/2023,COVID-19,Delaware,1.1
10/21/2023,COVID-19,District of Columbia,1.3
10/21/2023,COVID-19,Florida,1
10/21/2023,COVID-19,Georgia,0.6
10/21/2023,COVID-19,Hawaii,2
10/21/2023,COVID-19,Idaho,1.9
10/21/2023,COVID-19,Illinois,1.6
10/21/2023,COVID-19,Indiana,1.5
10/21/2023,COVID-19,Iowa,2.1
10/21/2023,COVID-19,Kansas,1.5
10/21/2023,COVID-19,Kentucky,1.7
10/21/2023,COVID-19,Louisiana,1
10/21/2023,COVID-19,Maine,1.6
10/21/2023,COVID-19,Maryland,1.5
10/21/2023,COVID-19,Massachusetts,1.6
10/21/2023,COVID-19,Michigan,1.4
10/21/2023,COVID-19,Minnesota,1.9
10/21/2023,COVID-19,Mississippi,1
10/21/2023,COVID-19,Montana,2.5
10/21/2023,COVID-19,United States,1.4
10/21/2023,COVID-19,Nebraska,1.1
10/21/2023,COVID-19,Nevada,1.7
10/21/2023,COVID-19,New Hampshire,1.4
10/21/2023,COVID-19,New Jersey,1.1
10/21/2023,COVID-19,New Mexico,3.6
10/21/2023,COVID-19,New York,1.1
10/21/2023,COVID-19,North Carolina,1.6
10/21/2023,COVID-19,North Dakota,2.1
10/21/2023,COVID-19,Ohio,1.4
10/21/2023,COVID-19,Oklahoma,1.4
10/21/2023,COVID-19,Oregon,2
10/21/2023,COVID-19,Pennsylvania,1.2
10/21/2023,COVID-19,Rhode Island,1.4
10/21/2023,COVID-19,South Carolina,1.4
10/21/2023,COVID-19,Tennessee,1.1
10/21/2023,COVID-19,Texas,1.1
10/21/2023,COVID-19,Utah,1.9
10/21/2023,COVID-19,Vermont,1.8
10/21/2023,COVID-19,Virginia,1.6
10/21/2023,COVID-19,Washington,1.8
10/21/2023,COVID-19,West Virginia,2.3
10/21/2023,COVID-19,Wisconsin,1.6
10/21/2023,COVID-19,Wyoming,2.3
10/21/2023,Influenza,Alabama,1.1
10/21/2023,Influenza,Alaska,4.4
10/21/2023,Influenza,Arizona,0.3
10/21/2023,Influenza,Arkansas,0.7
10/21/2023,Influenza,California,0.2
10/21/2023,Influenza,Colorado,0.4
10/21/2023,Influenza,Connecticut,0.1
10/21/2023,Influenza,Delaware,0.2
10/21/2023,Influenza,District of Columbia,0.1
10/21/2023,Influenza,Florida,2.5
10/21/2023,Influenza,Georgia,0.5
10/21/2023,Influenza,Hawaii,2.8
10/21/2023,Influenza,Idaho,0.1
10/21/2023,Influenza,Illinois,0.2
10/21/2023,Influenza,Indiana,0.2
10/21/2023,Influenza,Iowa,0.2
10/21/2023,Influenza,Kansas,0.1
10/21/2023,Influenza,Kentucky,0.3
10/21/2023,Influenza,Louisiana,1
10/21/2023,Influenza,Maine,0.1
10/21/2023,Influenza,Maryland,0.1
10/21/2023,Influenza,Massachusetts,0.1
10/21/2023,Influenza,Michigan,0.1
10/21/2023,Influenza,Minnesota,0.2
10/21/2023,Influenza,Mississippi,0.8
10/21/2023,Influenza,Montana,0.1
10/21/2023,Influenza,United States,0.6
10/21/2023,Influenza,Nebraska,0.1
10/21/2023,Influenza,Nevada,0.3
10/21/2023,Influenza,New Hampshire,0
10/21/2023,Influenza,New Jersey,0.2
10/21/2023,Influenza,New Mexico,0.3
10/21/2023,Influenza,New York,0.1
10/21/2023,Influenza,North Carolina,0.7
10/21/2023,Influenza,North Dakota,0.1
10/21/2023,Influenza,Ohio,0.1
10/21/2023,Influenza,Oklahoma,0.2
10/21/2023,Influenza,Oregon,0.1
10/21/2023,Influenza,Pennsylvania,0.1
10/21/2023,Influenza,Rhode Island,0.1
10/21/2023,Influenza,South Carolina,0.5
10/21/2023,Influenza,Tennessee,0.4
10/21/2023,Influenza,Texas,0.8
10/21/2023,Influenza,Utah,0.4
10/21/2023,Influenza,Vermont,0.1
10/21/2023,Influenza,Virginia,0.4
10/21/2023,Influenza,Washington,0.2
10/21/2023,Influenza,West Virginia,0.2
10/21/2023,Influenza,Wisconsin,0.1
10/21/2023,Influenza,Wyoming,0.2
10/21/2023,RSV,Alabama,0.8
10/21/2023,RSV,Alaska,0.2
10/21/2023,RSV,Arizona,0.1
10/21/2023,RSV,Arkansas,0.3
10/21/2023,RSV,California,0.1
10/21/2023,RSV,Colorado,0.1
10/21/2023,RSV,Connecticut,0.2
10/21/2023,RSV,Delaware,0.8
10/21/2023,RSV,District of Columbia,1.4
10/21/2023,RSV,Florida,0.8
10/21/2023,RSV,Georgia,0.7
10/21/2023,RSV,Hawaii,0.6
10/21/2023,RSV,Idaho,0.1
10/21/2023,RSV,Illinois,0.3
10/21/2023,RSV,Indiana,0.3
10/21/2023,RSV,Iowa,0.2
10/21/2023,RSV,Kansas,0.1
10/21/2023,RSV,Kentucky,0.4
10/21/2023,RSV,Louisiana,0.7
10/21/2023,RSV,Maine,0.1
10/21/2023,RSV,Maryland,0.5
10/21/2023,RSV,Massachusetts,0.4
10/21/2023,RSV,Michigan,0.1
10/21/2023,RSV,Minnesota,0.1
10/21/2023,RSV,Mississippi,0.9
10/21/2023,RSV,Montana,0
10/21/2023,RSV,United States,0.4
10/21/2023,RSV,Nebraska,0
10/21/2023,RSV,Nevada,0.1
10/21/2023,RSV,New Hampshire,0.1
10/21/2023,RSV,New Jersey,0.3
10/21/2023,RSV,New Mexico,0.2
10/21/2023,RSV,New York,0.2
10/21/2023,RSV,North Carolina,0.4
10/21/2023,RSV,North Dakota,0.1
10/21/2023,RSV,Ohio,0.1
10/21/2023,RSV,Oklahoma,0.1
10/21/2023,RSV,Oregon,0.1
10/21/2023,RSV,Pennsylvania,0.2
10/21/2023,RSV,Rhode Island,0.1
10/21/2023,RSV,South Carolina,0.6
10/21/2023,RSV,Tennessee,0.8
10/21/2023,RSV,Texas,0.7
10/21/2023,RSV,Utah,0
10/21/2023,RSV,Vermont,0.1
10/21/2023,RSV,Virginia,0.5
10/21/2023,RSV,Washington,0.1
10/21/2023,RSV,West Virginia,0.2
10/21/2023,RSV,Wisconsin,0.1
10/21/2023,RSV,Wyoming,0
10/28/2023,COVID-19,Alabama,1.1
10/28/2023,COVID-19,Alaska,1.3
10/28/2023,COVID-19,Arizona,2.5
10/28/2023,COVID-19,Arkansas,0.9
10/28/2023,COVID-19,California,1.1
10/28/2023,COVID-19,Colorado,2.4
10/28/2023,COVID-19,Connecticut,1.6
10/28/2023,COVID-19,Delaware,1.3
10/28/2023,COVID-19,District of Columbia,1.2
10/28/2023,COVID-19,Florida,0.9
10/28/2023,COVID-19,Georgia,0.7
10/28/2023,COVID-19,Hawaii,2
10/28/2023,COVID-19,Idaho,1.7
10/28/2023,COVID-19,Illinois,1.6
10/28/2023,COVID-19,Indiana,1.4
10/28/2023,COVID-19,Iowa,2
10/28/2023,COVID-19,Kansas,1.4
10/28/2023,COVID-19,Kentucky,1.9
10/28/2023,COVID-19,Louisiana,1
10/28/2023,COVID-19,Maine,1.7
10/28/2023,COVID-19,Maryland,1.4
10/28/2023,COVID-19,Massachusetts,1.4
10/28/2023,COVID-19,Michigan,1.6
10/28/2023,COVID-19,Minnesota,1.9
10/28/2023,COVID-19,Mississippi,1.3
10/28/2023,COVID-19,Montana,2
10/28/2023,COVID-19,United States,1.4
10/28/2023,COVID-19,Nebraska,1.5
10/28/2023,COVID-19,Nevada,1.7
10/28/2023,COVID-19,New Hampshire,1.4
10/28/2023,COVID-19,New Jersey,1
10/28/2023,COVID-19,New Mexico,4.2
10/28/2023,COVID-19,New York,1.1
10/28/2023,COVID-19,North Carolina,1.6
10/28/2023,COVID-19,North Dakota,1.3
10/28/2023,COVID-19,Ohio,1.5
10/28/2023,COVID-19,Oklahoma,1.6
10/28/2023,COVID-19,Oregon,1.8
10/28/2023,COVID-19,Pennsylvania,1.3
10/28/2023,COVID-19,Rhode Island,1
10/28/2023,COVID-19,South Carolina,1.2
10/28/2023,COVID-19,Tennessee,1.3
10/28/2023,COVID-19,Texas,1.2
10/28/2023,COVID-19,Utah,1.9
10/28/2023,COVID-19,Vermont,1.8
10/28/2023,COVID-19,Virginia,1.8
10/28/2023,COVID-19,Washington,1.6
10/28/2023,COVID-19,West Virginia,2.5
10/28/2023,COVID-19,Wisconsin,1.8
10/28/2023,COVID-19,Wyoming,2.1
10/28/2023,Influenza,Alabama,1.4
10/28/2023,Influenza,Alaska,5.4
10/28/2023,Influenza,Arizona,0.4
10/28/2023,Influenza,Arkansas,0.6
10/28/2023,Influenza,California,0.2
10/28/2023,Influenza,Colorado,0.4
10/28/2023,Influenza,Connecticut,0.2
10/28/2023,Influenza,Delaware,0.1
10/28/2023,Influenza,District of Columbia,0.1
10/28/2023,Influenza,Florida,2.8
10/28/2023,Influenza,Georgia,0.6
10/28/2023,Influenza,Hawaii,3.4
10/28/2023,Influenza,Idaho,0.2
10/28/2023,Influenza,Illinois,0.3
10/28/2023,Influenza,Indiana,0.2
10/28/2023,Influenza,Iowa,0.2
10/28/2023,Influenza,Kansas,0.2
10/28/2023,Influenza,Kentucky,0.3
10/28/2023,Influenza,Louisiana,1.3
10/28/2023,Influenza,Maine,0.1
10/28/2023,Influenza,Maryland,0.2
10/28/2023,Influenza,Massachusetts,0.2
10/28/2023,Influenza,Michigan,0.1
10/28/2023,Influenza,Minnesota,0.1
10/28/2023,Influenza,Mississippi,1.1
10/28/2023,Influenza,Montana,0
10/28/2023,Influenza,United States,0.7
10/28/2023,Influenza,Nebraska,0
10/28/2023,Influenza,Nevada,0.3
10/28/2023,Influenza,New Hampshire,0.1
10/28/2023,Influenza,New Jersey,0.2
10/28/2023,Influenza,New Mexico,0.3
10/28/2023,Influenza,New York,0.1
10/28/2023,Influenza,North Carolina,0.9
10/28/2023,Influenza,North Dakota,0
10/28/2023,Influenza,Ohio,0.1
10/28/2023,Influenza,Oklahoma,0.2
10/28/2023,Influenza,Oregon,0.1
10/28/2023,Influenza,Pennsylvania,0.1
10/28/2023,Influenza,Rhode Island,0.1
10/28/2023,Influenza,South Carolina,0.7
10/28/2023,Influenza,Tennessee,0.4
10/28/2023,Influenza,Texas,1.1
10/28/2023,Influenza,Utah,0.4
10/28/2023,Influenza,Vermont,0
10/28/2023,Influenza,Virginia,0.5
10/28/2023,Influenza,Washington,0.2
10/28/2023,Influenza,West Virginia,0.1
10/28/2023,Influenza,Wisconsin,0.1
10/28/2023,Influenza,Wyoming,0
10/28/2023,RSV,Alabama,0.9
10/28/2023,RSV,Alaska,0.4
10/28/2023,RSV,Arizona,0.1
10/28/2023,RSV,Arkansas,0.5
10/28/2023,RSV,California,0.2
10/28/2023,RSV,Colorado,0.1
10/28/2023,RSV,Connecticut,0.2
10/28/2023,RSV,Delaware,1.2
10/28/2023,RSV,District of Columbia,1.5
10/28/2023,RSV,Florida,0.8
10/28/2023,RSV,Georgia,0.7
10/28/2023,RSV,Hawaii,0.6
10/28/2023,RSV,Idaho,0.1
10/28/2023,RSV,Illinois,0.5
10/28/2023,RSV,Indiana,0.3
10/28/2023,RSV,Iowa,0.2
10/28/2023,RSV,Kansas,0
10/28/2023,RSV,Kentucky,0.4
10/28/2023,RSV,Louisiana,0.8
10/28/2023,RSV,Maine,0.1
10/28/2023,RSV,Maryland,0.8
10/28/2023,RSV,Massachusetts,0.7
10/28/2023,RSV,Michigan,0.2
10/28/2023,RSV,Minnesota,0.2
10/28/2023,RSV,Mississippi,1.1
10/28/2023,RSV,Montana,0.1
10/28/2023,RSV,United States,0.5
10/28/2023,RSV,Nebraska,0.1
10/28/2023,RSV,Nevada,0.1
10/28/2023,RSV,New Hampshire,0.2
10/28/2023,RSV,New Jersey,0.4
10/28/2023,RSV,New Mexico,0.2
10/28/2023,RSV,New York,0.3
10/28/2023,RSV,North Carolina,0.6
10/28/2023,RSV,North Dakota,0.1
10/28/2023,RSV,Ohio,0.1
10/28/2023,RSV,Oklahoma,0.2
10/28/2023,RSV,Oregon,0.1
10/28/2023,RSV,Pennsylvania,0.2
10/28/2023,RSV,Rhode Island,0.4
10/28/2023,RSV,South Carolina,0.8
10/28/2023,RSV,Tennessee,0.8
10/28/2023,RSV,Texas,1
10/28/2023,RSV,Utah,0.1
10/28/2023,RSV,Vermont,0.1
10/28/2023,RSV,Virginia,0.6
10/28/2023,RSV,Washington,0.1
10/28/2023,RSV,West Virginia,0.3
10/28/2023,RSV,Wisconsin,0.1
10/28/2023,RSV,Wyoming,0
11/4/2023,COVID-19,Alabama,1.1
11/4/2023,COVID-19,Alaska,1.4
11/4/2023,COVID-19,Arizona,2.3
11/4/2023,COVID-19,Arkansas,0.9
11/4/2023,COVID-19,California,1.1
11/4/2023,COVID-19,Colorado,2.4
11/4/2023,COVID-19,Connecticut,1.5
11/4/2023,COVID-19,Delaware,1.2
11/4/2023,COVID-19,District of Columbia,0.9
11/4/2023,COVID-19,Florida,0.8
11/4/2023,COVID-19,Georgia,0.7
11/4/2023,COVID-19,Hawaii,1.7
11/4/2023,COVID-19,Idaho,1.6
11/4/2023,COVID-19,Illinois,1.8
11/4/2023,COVID-19,Indiana,1.4
11/4/2023,COVID-19,Iowa,1.7
11/4/2023,COVID-19,Kansas,1.6
11/4/2023,COVID-19,Kentucky,2.1
11/4/2023,COVID-19,Louisiana,0.8
11/4/2023,COVID-19,Maine,1.5
11/4/2023,COVID-19,Maryland,1.5
11/4/2023,COVID-19,Massachusetts,1.2
11/4/2023,COVID-19,Michigan,1.6
11/4/2023,COVID-19,Minnesota,2
11/4/2023,COVID-19,Mississippi,1.1
11/4/2023,COVID-19,Montana,2.2
11/4/2023,COVID-19,United States,1.3
11/4/2023,COVID-19,Nebraska,1.4
11/4/2023,COVID-19,Nevada,1.6
11/4/2023,COVID-19,New Hampshire,1.3
11/4/2023,COVID-19,New Jersey,0.9
11/4/2023,COVID-19,New Mexico,4.9
11/4/2023,COVID-19,New York,1
11/4/2023,COVID-19,North Carolina,1.5
11/4/2023,COVID-19,North Dakota,1.8
11/4/2023,COVID-19,Ohio,1.6
11/4/2023,COVID-19,Oklahoma,1.5
11/4/2023,COVID-19,Oregon,1.9
11/4/2023,COVID-19,Pennsylvania,1.2
11/4/2023,COVID-19,Rhode Island,0.9
11/4/2023,COVID-19,South Carolina,1.4
11/4/2023,COVID-19,Tennessee,1.3
11/4/2023,COVID-19,Texas,1.1
11/4/2023,COVID-19,Utah,2.1
11/4/2023,COVID-19,Vermont,1.8
11/4/2023,COVID-19,Virginia,1.6
11/4/2023,COVID-19,Washington,1.6
11/4/2023,COVID-19,West Virginia,2.4
11/4/2023,COVID-19,Wisconsin,1.7
11/4/2023,COVID-19,Wyoming,2.8
11/4/2023,Influenza,Alabama,2
11/4/2023,Influenza,Alaska,6.9
11/4/2023,Influenza,Arizona,0.6
11/4/2023,Influenza,Arkansas,0.7
11/4/2023,Influenza,California,0.3
11/4/2023,Influenza,Colorado,0.6
11/4/2023,Influenza,Connecticut,0.2
