State/Territory,Week_Ending_Date,Data_Collection_Period,State/Territory_WVAL,National_WVAL,Regional_WVAL,WVAL_Category,Coverage
Alabama,11/30/2024,1 Year,14.80333009,2.465017247,4.984613151,High,
Alabama,9/14/2024,6 Months,1.542885865,1.184422229,1.364764976,Minimal,
Alabama,6/3/2023,All Results,1.242856265,1.286926427,1.360917379,Minimal,
Alabama,1/11/2025,45 Days,12.52442081,10.08301231,15.68285271,High,
Alabama,8/31/2024,All Results,1.548444826,1.23632566,1.335848246,Minimal,
Alabama,1/4/2025,1 Year,22.34802894,10.03425259,15.4760468,Very High,
Alabama,8/3/2024,6 Months,1.368115098,1.218954668,1.312073876,Minimal,
Alabama,12/23/2023,All Results,20.08665404,11.1731723,11.43840891,Very High,
Alabama,12/28/2024,6 Months,16.01884021,6.40425026,12.9157796,High,
Alabama,12/28/2024,45 Days,16.01884021,6.40425026,12.9157796,High,
Alabama,8/26/2023,All Results,1.881078309,1.65981482,1.58725935,Minimal,
Alabama,12/31/2022,All Results,7.23946798,9.64861324,8.791037342,Low,
Alabama,1/11/2025,6 Months,12.52442081,10.08301231,15.68285271,High,
Alabama,7/29/2023,All Results,1.44297711,1.384895253,1.539295761,Minimal,
Alabama,9/14/2024,1 Year,1.542885865,1.184422229,1.364764976,Minimal,
Alabama,12/14/2024,45 Days,18.11791475,5.472206273,11.46671637,High,
Alabama,11/11/2023,All Results,12.10829233,5.228844852,9.989673372,High,
Alabama,9/28/2024,6 Months,1.506819921,1.215121123,1.523947352,Minimal,
Alabama,10/12/2024,1 Year,1.432962077,1.1482105,1.491346929,Minimal,
Alabama,3/16/2024,All Results,1.894355547,3.212429211,2.067293737,Minimal,
Alabama,10/12/2024,6 Months,1.432962077,1.1482105,1.491346929,Minimal,
Alabama,8/3/2024,All Results,1.368115098,1.218954668,1.312073876,Minimal,
Alabama,4/27/2024,All Results,1.526890667,1.455112007,1.338648977,Minimal,
Alabama,9/17/2022,All Results,5.266788181,2.778847692,5.116320124,Low,
Alabama,3/25/2023,All Results,1.73389055,2.163052158,1.768957561,Minimal,
Alabama,2/3/2024,All Results,8.387490177,6.868404881,5.566944153,Moderate,
Alabama,12/14/2024,1 Year,18.11791475,5.472206273,11.46671637,High,
Alabama,1/18/2025,6 Months,8.367222318,8.870003394,12.78608732,Moderate,
Alabama,6/15/2024,1 Year,1.503135696,1.259788613,1.28119729,Minimal,
Alabama,6/29/2024,1 Year,1.250864443,1.283688257,1.240933688,Minimal,
Alabama,1/28/2023,All Results,2.568928385,5.388541997,3.57780255,Minimal,
Alabama,8/27/2022,All Results,8.00039847,2.666307019,3.96640383,Moderate,
Alabama,8/19/2023,All Results,2.694947604,1.486995519,1.623900573,Minimal,
Alabama,7/13/2024,All Results,1.297863627,1.2601647,1.279214178,Minimal,
Alabama,10/5/2024,All Results,1.457603242,1.263411201,1.653918119,Minimal,
Alabama,3/23/2024,All Results,3.349563711,2.513087656,1.779229362,Minimal,
Alabama,4/13/2024,All Results,1.835410766,1.913184421,1.668108735,Minimal,
Alabama,5/18/2024,All Results,1.679875092,1.404929217,1.324626492,Minimal,
Alabama,12/7/2024,All Results,16.05967125,4.07726314,7.810416556,High,
Alabama,3/2/2024,All Results,4.575678965,4.18098609,2.778414191,Low,
Alabama,3/9/2024,1 Year,3.570093947,3.747594887,2.159924201,Minimal,
Alabama,12/9/2023,All Results,15.18043452,11.11331973,12.53481028,High,
Alabama,3/23/2024,1 Year,3.349563711,2.513087656,1.779229362,Minimal,
Alabama,12/28/2024,All Results,16.01884021,6.40425026,12.9157796,High,
Alabama,1/21/2023,All Results,5.147865704,6.321951214,3.691879272,Low,
Alabama,10/21/2023,All Results,6.760876116,1.960861607,3.356067924,Low,
Alabama,10/8/2022,All Results,5.672171739,3.754217665,6.799762028,Low,
Alabama,8/24/2024,1 Year,1.727476266,1.269539894,1.372880737,Minimal,
Alabama,2/11/2023,All Results,3.068143201,4.465009064,3.579145496,Minimal,
Alabama,5/4/2024,All Results,1.394467589,1.46921103,1.300526198,Minimal,
Alabama,1/11/2025,All Results,12.52442081,10.08301231,15.68285271,High,
Alabama,11/16/2024,6 Months,9.649424642,1.91663426,2.672973939,Moderate,
Alaska,11/2/2024,1 Year,1,1.260595524,1.350757679,Minimal,
Alaska,6/29/2024,All Results,1,1.283688257,1.212332545,Minimal,
Alaska,12/16/2023,All Results,13.04275043,11.75329853,11.36144705,High,
Alaska,5/4/2024,1 Year,2.066075946,1.46921103,1.430804025,Minimal,
Alaska,8/12/2023,All Results,1.813388176,1.453764064,1.451353954,Minimal,
Alaska,9/21/2024,1 Year,1,1.136892106,1.064496441,Minimal,
Alaska,1/25/2025,45 Days,8.315640703,8.410056222,8.86345711,Moderate,
Alaska,11/9/2024,All Results,2.403535807,1.505537457,1.461468232,Minimal,
Alaska,1/27/2024,All Results,7.408337634,7.415900794,9.147398793,Low,
Alaska,6/22/2024,All Results,1,1.226811809,1.195006828,Minimal,
Alaska,12/7/2024,6 Months,7.268599647,4.07726314,5.233286223,Low,
Alaska,9/2/2023,All Results,2.044588792,1.401020208,1.57670177,Minimal,
Alaska,11/30/2024,6 Months,3.051392378,2.465017247,3.198615099,Minimal,
Alaska,7/22/2023,All Results,3.23255802,1.471332152,1.481058069,Minimal,
Alaska,11/2/2024,All Results,1,1.260595524,1.350757679,Minimal,
Alaska,4/6/2024,All Results,1.687367188,2.199135747,1.84699813,Minimal,
Alaska,1/27/2024,1 Year,7.408337634,7.415900794,9.147398793,Low,
Alaska,2/10/2024,All Results,4.394543956,6.307025296,7.892608668,Low,
Alaska,6/8/2024,All Results,1,1.35325598,1.333959582,Minimal,
Alaska,1/11/2025,1 Year,11.37265183,10.08301231,8.56925418,Moderate,
Alaska,11/18/2023,All Results,10.64312616,7.607362278,6.05967751,Moderate,
Alaska,10/28/2023,All Results,2.520407907,2.498974326,2.073826739,Minimal,
Alaska,7/8/2023,All Results,2.153901309,1.339868249,1.422776026,Minimal,
Alaska,8/3/2024,1 Year,1,1.218954668,1.117519631,Minimal,
Alaska,8/24/2024,All Results,1,1.269539894,1.094838733,Minimal,
Alaska,1/4/2025,6 Months,18.86174329,10.03425259,8.527682142,High,
Alaska,9/28/2024,All Results,1,1.215121123,1.116395056,Minimal,
Alaska,9/21/2024,6 Months,1,1.136892106,1.064496441,Minimal,
Alaska,12/7/2024,1 Year,7.268599647,4.07726314,5.233286223,Low,
Alaska,7/6/2024,1 Year,1,1.221474285,1.110635382,Minimal,
Alaska,10/26/2024,1 Year,1,1.157666147,1.217807686,Minimal,
Alaska,7/1/2023,All Results,1.088417724,1.34841252,1.370660643,Minimal,
Alaska,8/17/2024,1 Year,1,1.215384356,1.084457266,Minimal,
Alaska,4/20/2024,All Results,1.35102224,1.574160592,1.453634712,Minimal,
Alaska,9/9/2023,All Results,2.059223851,1.532486284,1.631176537,Minimal,
Alaska,9/28/2024,1 Year,1,1.215121123,1.116395056,Minimal,
Alaska,4/13/2024,1 Year,1.463953517,1.913184421,1.598768811,Minimal,
Alaska,9/21/2024,All Results,1,1.136892106,1.064496441,Minimal,
Alaska,4/20/2024,1 Year,1.35102224,1.574160592,1.453634712,Minimal,
Alaska,12/14/2024,6 Months,12.66674829,5.472206273,4.120433084,High,
Alaska,12/21/2024,6 Months,21.63356907,6.597140991,6.181956711,Very High,
Alaska,11/25/2023,All Results,10.47772004,8.356403298,6.758718227,Moderate,
Alaska,11/23/2024,All Results,1,2.321732905,2.872810074,Minimal,
Alaska,12/30/2023,All Results,17.67768078,13.18569684,13.43142947,High,
Alaska,12/21/2024,1 Year,21.63356907,6.597140991,6.181956711,Very High,
Alaska,5/11/2024,1 Year,1,1.46649405,1.417906035,Minimal,
Alaska,1/25/2025,6 Months,8.315640703,8.410056222,8.86345711,Moderate,
Alaska,2/17/2024,1 Year,4.020764569,5.556611227,6.413197852,Low,
Alaska,6/10/2023,All Results,2.500629649,1.459469894,1.369314397,Minimal,
Alaska,11/2/2024,6 Months,1,1.260595524,1.350757679,Minimal,
Alaska,7/15/2023,All Results,1.767962627,1.458776375,1.474803324,Minimal,
Alaska,4/6/2024,1 Year,1.687367188,2.199135747,1.84699813,Minimal,
Alaska,6/15/2024,All Results,1,1.259788613,1.176111432,Minimal,
Alaska,10/19/2024,All Results,1,1.254449455,1.244443683,Minimal,
Alaska,2/24/2024,1 Year,4.73076849,4.796281787,5.068583592,Low,
Alaska,10/14/2023,All Results,2.218095374,1.692075458,1.672142196,Minimal,
Alaska,10/12/2024,All Results,1,1.1482105,1.07724622,Minimal,
Alaska,7/20/2024,All Results,1,1.254157163,1.116420062,Minimal,
Alaska,3/30/2024,1 Year,1.54996174,2.337129667,2.004965307,Minimal,
Alaska,3/30/2024,All Results,1.54996174,2.337129667,2.004965307,Minimal,
Alaska,2/17/2024,All Results,4.020764569,5.556611227,6.413197852,Low,
Alaska,7/27/2024,All Results,1,1.245212192,1.100528527,Minimal,
Alaska,3/16/2024,1 Year,1.35613705,3.212429211,3.455039418,Minimal,
Alaska,12/21/2024,45 Days,21.63356907,6.597140991,6.181956711,Very High,
Alaska,7/27/2024,1 Year,1,1.245212192,1.100528527,Minimal,
Alaska,2/24/2024,All Results,4.73076849,4.796281787,5.068583592,Low,
Alaska,11/23/2024,1 Year,1,2.321732905,2.872810074,Minimal,
Alaska,5/25/2024,All Results,1,1.359411049,1.281521452,Minimal,
Alaska,9/23/2023,All Results,1.407730754,1.637968571,1.932488834,Minimal,
Alaska,10/5/2024,6 Months,1,1.263411201,1.054745161,Minimal,
Alaska,1/6/2024,All Results,20.6793463,14.53445698,15.87794431,Very High,
Alaska,10/19/2024,1 Year,1,1.254449455,1.244443683,Minimal,
Alaska,1/13/2024,All Results,20.9790946,11.50486882,13.2329155,Very High,
Alaska,12/28/2024,1 Year,15.36677303,6.40425026,6.141855395,High,
Alaska,10/7/2023,All Results,1.964430743,1.80711458,1.672754896,Minimal,
Alaska,8/31/2024,1 Year,1,1.23632566,1.132765102,Minimal,
Alaska,12/21/2024,All Results,21.63356907,6.597140991,6.181956711,Very High,
Alaska,3/2/2024,1 Year,3.869743686,4.18098609,4.179255831,Minimal,
Alaska,11/30/2024,All Results,3.051392378,2.465017247,3.198615099,Minimal,
Alaska,10/26/2024,6 Months,1,1.157666147,1.217807686,Minimal,
Alaska,7/20/2024,1 Year,1,1.254157163,1.116420062,Minimal,
Alaska,11/4/2023,All Results,6.843540014,3.587764254,2.851133225,Low,
Alaska,2/3/2024,1 Year,3.1412469,6.868404881,7.766630688,Minimal,
Alaska,11/23/2024,6 Months,1,2.321732905,2.872810074,Minimal,
Alaska,6/1/2024,1 Year,1,1.301903931,1.199870355,Minimal,
Alaska,6/24/2023,All Results,0.991676104,1.349720852,1.387871551,Minimal,
Alaska,10/5/2024,1 Year,1,1.263411201,1.054745161,Minimal,
Alaska,12/14/2024,All Results,12.66674829,5.472206273,4.120433084,High,
Alaska,9/30/2023,All Results,2.690708011,2.018461383,2.00845968,Minimal,
Alaska,11/9/2024,6 Months,2.403535807,1.505537457,1.461468232,Minimal,
Alaska,8/17/2024,All Results,1,1.215384356,1.084457266,Minimal,
Alaska,9/7/2024,All Results,1,1.203404589,1.124404291,Minimal,
Alaska,6/1/2024,All Results,1,1.301903931,1.199870355,Minimal,
Alaska,6/8/2024,1 Year,1,1.35325598,1.333959582,Minimal,
Alaska,1/18/2025,All Results,15.63467309,8.870003394,8.776131689,High,
Alaska,11/16/2024,All Results,1,1.91663426,2.221407482,Minimal,
Alaska,1/20/2024,All Results,17.99443805,8.555605875,10.24259176,High,
Alaska,9/7/2024,6 Months,1,1.203404589,1.124404291,Minimal,
Alaska,6/17/2023,All Results,1.532721941,1.343360995,1.400251943,Minimal,
Alaska,6/22/2024,1 Year,1,1.226811809,1.195006828,Minimal,
Alaska,10/19/2024,6 Months,1,1.254449455,1.244443683,Minimal,
Alaska,8/10/2024,1 Year,1,1.269186096,1.141045018,Minimal,
Alaska,12/2/2023,All Results,13.687191,11.02997146,8.655377714,High,
Alaska,1/4/2025,All Results,18.86174329,10.03425259,8.527682142,High,
Alaska,8/17/2024,6 Months,1,1.215384356,1.084457266,Minimal,
Alaska,7/13/2024,1 Year,1,1.2601647,1.123386949,Minimal,
Alaska,8/24/2024,6 Months,1,1.269539894,1.094838733,Minimal,
Alaska,8/31/2024,6 Months,1,1.23632566,1.132765102,Minimal,
Alaska,8/10/2024,6 Months,1,1.269186096,1.141045018,Minimal,
Alaska,8/5/2023,All Results,1.832561067,1.35356087,1.494409268,Minimal,
Alaska,1/18/2025,45 Days,15.63467309,8.870003394,8.776131689,High,
Alaska,1/25/2025,1 Year,8.315640703,8.410056222,8.86345711,Moderate,
Alaska,2/10/2024,1 Year,4.394543956,6.307025296,7.892608668,Low,
Alaska,5/18/2024,1 Year,1,1.404929217,1.348019273,Minimal,
Alaska,11/16/2024,1 Year,1,1.91663426,2.221407482,Minimal,
Alaska,10/26/2024,All Results,1,1.157666147,1.217807686,Minimal,
Alaska,1/18/2025,1 Year,15.63467309,8.870003394,8.776131689,High,
Alaska,1/4/2025,45 Days,18.86174329,10.03425259,8.527682142,High,
Alaska,5/11/2024,All Results,1,1.46649405,1.417906035,Minimal,
Alaska,5/27/2023,All Results,1.779059319,1.379052949,1.405761009,Minimal,
Alaska,8/10/2024,All Results,1,1.269186096,1.141045018,Minimal,
Alaska,7/6/2024,All Results,1,1.221474285,1.110635382,Minimal,
Alaska,9/16/2023,All Results,1.589932915,1.539365445,1.914074497,Minimal,
Alaska,1/25/2025,All Results,8.315640703,8.410056222,8.86345711,Moderate,
Alaska,4/27/2024,1 Year,1.184049447,1.455112007,1.381142707,Minimal,
Alaska,5/25/2024,1 Year,1,1.359411049,1.281521452,Minimal,
Alaska,11/9/2024,1 Year,2.403535807,1.505537457,1.461468232,Minimal,
Alaska,9/14/2024,All Results,1,1.184422229,1.151334179,Minimal,
Alaska,9/7/2024,1 Year,1,1.203404589,1.124404291,Minimal,
Alaska,3/9/2024,All Results,3.50988355,3.747594887,4.369956409,Minimal,
Alaska,11/30/2024,1 Year,3.051392378,2.465017247,3.198615099,Minimal,
Alaska,9/14/2024,6 Months,1,1.184422229,1.151334179,Minimal,
Alaska,6/3/2023,All Results,3.050784241,1.286926427,1.340691294,Minimal,
Alaska,1/11/2025,45 Days,11.37265183,10.08301231,8.56925418,Moderate,
Alaska,8/31/2024,All Results,1,1.23632566,1.132765102,Minimal,
Alaska,1/4/2025,1 Year,18.86174329,10.03425259,8.527682142,High,
Alaska,8/3/2024,6 Months,1,1.218954668,1.117519631,Minimal,
Alaska,12/23/2023,All Results,13.20969604,11.1731723,11.19554888,High,
Alaska,12/28/2024,6 Months,15.36677303,6.40425026,6.141855395,High,
